,data,municipio,macroRegiao,regiaoSaude,Confirmado,Suspeito,Óbito,ConfirmadoCum,SuspeitoCum,ÓbitoCum,lat,lon
162,2020-03-04,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
163,2020-03-05,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
164,2020-03-06,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
165,2020-03-07,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
166,2020-03-08,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
167,2020-03-09,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
168,2020-03-10,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
169,2020-03-11,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
170,2020-03-12,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
171,2020-03-13,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
172,2020-03-14,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
173,2020-03-15,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
174,2020-03-16,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
175,2020-03-17,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
176,2020-03-18,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
177,2020-03-19,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
